start_frame,end_frame,num_frames,start_time,end_time
1,368,368,00:00,00:14
2000,2008,9,01:20,01:20
6558,6567,10,04:22,04:22
17892,17913,22,11:55,11:56
35301,35305,5,23:32,23:32
35317,35364,48,23:32,23:34
35406,35410,5,23:36,23:36
35419,35440,22,23:36,23:37
35448,35460,13,23:37,23:38
35483,35492,10,23:39,23:39
36061,36066,6,24:02,24:02
36096,36102,7,24:03,24:04
39196,39220,25,26:07,26:08
39403,39481,79,26:16,26:19
39559,39577,19,26:22,26:23
39747,39763,17,26:29,26:30
40761,40782,22,27:10,27:11
40795,40812,18,27:11,27:12
40819,40858,40,27:12,27:14
40868,40896,29,27:14,27:15
40908,40922,15,27:16,27:16
40931,40951,21,27:17,27:18
41003,41012,10,27:20,27:20
45869,45977,109,30:34,30:39
