start_frame,end_frame,num_frames,start_time,end_time
74,121,48,00:03,00:05
248,323,76,00:10,00:13
336,366,31,00:14,00:15
8282,8289,8,05:45,05:45
10131,10145,15,07:02,07:02
12049,12073,25,08:22,08:23
13658,13675,18,09:29,09:29
16276,16288,13,11:18,11:18
19434,19449,16,13:29,13:30
20642,20660,19,14:20,14:20
23168,23183,16,16:05,16:05
26273,26292,20,18:14,18:15
30008,30021,14,20:50,20:50
34412,34433,22,23:53,23:54
36372,36390,19,25:15,25:16
37305,37323,19,25:54,25:55
41135,41151,17,28:33,28:34
45033,45068,36,31:16,31:17
45085,45214,130,31:18,31:23
45238,45338,101,31:24,31:29
45346,45350,5,31:29,31:29
45366,45457,92,31:30,31:34
45532,45564,33,31:37,31:38
45615,45693,79,31:40,31:43
45704,46075,372,31:44,31:59
46254,46288,35,32:07,32:08
46359,46693,335,32:11,32:25
47414,47423,10,32:55,32:55
