start_frame,end_frame,num_frames,start_time,end_time
1,74,74,00:00,00:03
95,117,23,00:03,00:04
215,327,113,00:08,00:13
353,383,31,00:14,00:15
5349,5367,19,03:42,03:43
5632,5641,10,03:54,03:55
8118,8122,5,05:38,05:38
16863,16869,7,11:42,11:42
16886,16998,113,11:43,11:48
26458,26472,15,18:22,18:23
27135,27150,16,18:50,18:51
27740,27753,14,19:15,19:16
28897,28906,10,20:04,20:04
30373,30384,12,21:05,21:06
32460,32472,13,22:32,22:33
33437,33447,11,23:13,23:13
35692,35701,10,24:47,24:47
42824,42837,14,29:44,29:44
44438,44593,156,30:51,30:58
44642,44802,161,31:00,31:06
