start_frame,end_frame,num_frames,start_time,end_time
1,751,751,00:00,00:30
1888,1903,16,01:15,01:16
3190,3194,5,02:07,02:07
3274,3352,79,02:10,02:14
3360,3405,46,02:14,02:16
3414,3519,106,02:16,02:20
3624,3668,45,02:24,02:26
3676,3794,119,02:27,02:31
3903,3916,14,02:36,02:36
3941,3996,56,02:37,02:39
4011,4443,433,02:40,02:57
18009,18017,9,12:00,12:00
37347,37388,42,24:53,24:55
37400,37451,52,24:56,24:58
37686,37706,21,25:07,25:08
37902,37907,6,25:16,25:16
37925,38004,80,25:17,25:20
39409,39474,66,26:16,26:18
46423,46425,3,30:56,30:57
