start_frame,end_frame,num_frames,start_time,end_time
22,82,61,00:00,00:03
369,385,17,00:15,00:16
1025,1039,15,00:42,00:43
2328,2334,7,01:37,01:37
3471,3519,49,02:24,02:26
5712,5735,24,03:58,03:58
6538,6568,31,04:32,04:33
9991,10085,95,06:56,07:00
10230,10241,12,07:06,07:06
15519,15560,42,10:46,10:48
18659,18679,21,12:57,12:58
23062,23075,14,16:00,16:01
23148,23156,9,16:04,16:04
23164,23188,25,16:05,16:06
23200,23229,30,16:06,16:07
23335,23354,20,16:12,16:13
23388,23400,13,16:14,16:15
25812,25821,10,17:55,17:55
25948,25957,10,18:01,18:01
