start_frame,end_frame,num_frames,start_time,end_time
74,121,48,00:03,00:05
140,157,18,00:05,00:06
6201,6206,6,04:18,04:18
6217,6224,8,04:19,04:19
6233,6241,9,04:19,04:20
6259,6300,42,04:20,04:22
6603,6695,93,04:35,04:38
6721,6728,8,04:40,04:40
6755,6771,17,04:41,04:42
7854,7872,19,05:27,05:28
8886,8916,31,06:10,06:11
11102,11135,34,07:42,07:43
13802,13835,34,09:35,09:36
18285,18316,32,12:41,12:43
18327,18495,169,12:43,12:50
18502,18528,27,12:50,12:52
26133,26137,5,18:08,18:09
42112,42132,21,29:14,29:15
43538,43543,6,30:14,30:14
43673,43691,19,30:19,30:20
